Date,Spread,ZScore,Signal,PositionSize,Exposure,PnL,Capital,Event
2015-08-05,-10.6159988709314,0.5597367567718419,0.0,0.2529842827492523,0.0,0.0,1000010.4523078132,
2015-08-06,-9.976873375949843,0.7707878204327342,0.0,0.36969133003403964,0.0,0.0,1000010.4523078132,
2015-08-07,-10.463786021135938,0.46156211723421364,0.0,0.24531211191370247,0.0,-0.0,1000010.4523078132,
2015-08-10,-10.628532500091055,0.28827551333735635,0.0,0.1739664674759969,0.0,-0.0,1000010.4523078132,
2015-08-11,-8.883766845840888,1.2971518472322496,0.0,0.8725526967360588,0.0,0.0,1000010.4523078132,
2015-08-12,-8.964423897766665,1.2815854937683937,0.0,1.0545722474864447,0.0,-0.0,1000010.4523078132,
2015-08-13,-8.752099577286337,1.6368201774175803,0.0,1.7916530064847263,0.0,0.0,1000010.4523078132,
2015-08-14,-8.638746560587443,1.6183364471041999,0.0,1.671397611196606,0.0,0.0,1000010.4523078132,
2015-08-17,-8.55907875662946,1.550247541062964,0.0,1.507129316638274,0.0,0.0,1000010.4523078132,
2015-08-18,-8.294352411196023,1.5824808269763597,0.0,1.433256001960321,0.0,0.0,1000010.4523078132,
2015-08-19,-7.96386262226477,1.6528980123167873,0.0,1.3796152576555003,0.0,0.0,1000010.4523078132,
2015-08-20,-7.976086510180451,1.505346322895553,0.0,1.1880499613903426,0.0,-0.0,1000010.4523078132,
2015-08-21,-7.988992787986902,1.3401459142762893,0.0,1.0046985786317983,0.0,-0.0,1000010.4523078132,
2015-08-24,-7.571370740059521,1.4640664612697865,0.0,1.03285719384896,0.0,0.0,1000010.4523078132,
2015-08-25,-7.012691718662907,1.6252658389433294,0.0,1.0823042686794924,0.0,0.0,1000010.4523078132,
2015-08-26,-6.553010311421737,1.6802009006002532,0.0,1.0489321051107767,0.0,0.0,1000010.4523078132,
2015-08-27,-6.573145823650563,1.5022217856826436,0.0,0.9311177688074219,0.0,-0.0,1000010.4523078132,
2015-08-28,-6.992536575944392,1.1558995041543818,0.0,0.7587690571990043,0.0,-0.0,1000010.4523078132,
2015-08-31,-7.3330956093983275,0.8640564513019106,0.0,0.6187611758630015,0.0,-0.0,1000010.4523078132,
2015-09-01,-7.3005933593069585,0.8157303102024838,0.0,0.6327899928253795,0.0,0.0,1000010.4523078132,
2015-09-02,-7.043074521291615,0.9392113929721324,0.0,0.780337452340094,0.0,0.0,1000010.4523078132,
2015-09-03,-7.236636017975549,0.7004679975812098,0.0,0.6134280453209859,0.0,-0.0,1000010.4523078132,
2015-09-04,-6.664858033371658,1.1505488396533947,0.0,1.1202286045710828,0.0,0.0,1000010.4523078132,
2015-09-08,-6.583160745953023,1.2788575723640943,0.0,1.5412763092851358,0.0,0.0,1000010.4523078132,
2015-09-09,-6.087601615274913,1.6761264540946366,0.0,1.9828221988795283,0.0,0.0,1000010.4523078132,
